NRO. RESOLUCIÓN,FECHA DE EMISIÓN,ASUNTO,NOMBRE DE LA ORGANIZACIÓN,TIPO DE SERVICIO,TIPO DE SERVICIO ESPECIFÍCO,APROBADO POR,PEDIDO_UNIFICADO
SGDPN-DRCPN-2025-0015-R,2025-01-15,PERSONERIA JURIDICA,FUNDACION DE AYUDA SOCIAL INTEGRAL Y COMUNITARIA SAN PABLO,Personería jurídica a organizaciones sin fines de lucro,Personería jurídica de fundaciones,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0016-R,2025-01-15,REGISTRO DE DIRECTIVA,COMUNIDAD ANCESTRAL ESTERO DE BOCA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0017-R,2025-01-16,REGISTRO DE DIRECTIVA,CONFEDERACION DEL PUEBLO KAYAMBI,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0018-R,2025-01-16,INCLUSIÓN Y EXCLUCIÓN DE SOCIOS,CORPORACIÓN HATUN YANCHAKUNA,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN Y EXCLUCIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0019-R,2025-01-16,REGISTRO DE DIRECTIVA,"ORGANIZACIÓN DE LA NACIONALIDAD WAORANI DE ORELLANA ""ONWO""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0020-R,2025-01-17,REGISTRO DE DIRECTIVA,"FUNDACION KAWSAIPAK ÑAN ""FIJA""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0021-R,2025-01-17,REGISTRO DE DIRECTIVA,"FUNDACION KAWSAIPAK ÑAN ""FIJA""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0022-R,2025-01-17,REGISTRO DE DIRECTIVA,ASOCIACION DE MIEMBROS DE COMUNIDADES ORGANIZADAS DEL CANTON HUAQUILLAS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0023-R,2025-01-17,REGISTRO DE DIRECTIVA,CENTRO KICHWA Y CAMPESINO EL TRIUNFO DEL CHACO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0024-R,2025-01-20,REGISTRO DE DIRECTIVA,COMUNIDAD SHUAR NANTIP,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0025-R,2025-01-20,REGISTRO DE DIRECTIVA,COMUNIDAD KICHWA SAN CRISTOBAL,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0026-R,2025-01-20,REGISTRO DE DIRECTIVA,COMUNIDAD ANCESTRAL KICHWA VOLCAN SUMACO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0027-R,2025-01-21,REGISTRO DE DIRECTIVA,"FUNDACION KAWSAIPAK ÑAN ""FIJA""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0028-R,2025-01-21,REGISTRO DE DIRECTIVA,"CENTRO SHUAR - ACHUAR ""SHAWI""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0029-R,2025-01-21,REGISTRO DE DIRECTIVA,"COMUNIDAD KICHWA AUTONOMO ""SAN JOSÉ DE BATAN COCHA"".",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0030-R,2025-01-22,INCLUSIÓN DE SOCIOS,COMUNIDAD SHUAR ARUTAM,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0031-R,2025-01-22,PERSONERIA JURIDICA,FUNDACIÓN INTERCULTURAL MANOS DE VIDA Y ESPERANZA MAVIES,Personería jurídica a organizaciones sin fines de lucro,Personería jurídica de fundaciones,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0032-R,2025-01-23,REGISTRO DE DIRECTIVA,COMUNA FAKCHA LLAKTA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0033-R,2025-01-23,EXCLUSIÓN DE SOCIOS,"COMUNIDAD KICHWA AUTONOMO ""SAN JOSÉ DE BATAN COCHA"".",Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,EXCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0034-R,2025-01-23,REGISTRO DE DIRECTIVA,"COMUNIDAD KICHWA AUTONOMO ""SAN JOSÉ DE BATAN COCHA"".",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0035-R,2025-01-24,INCLUSIÓN DE SOCIOS,CENTRO KICHWA RIO GUACAMAYOS,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0036-R,2025-01-24,PERSONERIA JURIDICA,COMUNIDAD ORIGINARIO ANCESTRAL SHUAR KANUS,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0037-R,2025-01-24,REGISTRO DE DIRECTIVA,CENTRO KICHWA RIO GUACAMAYOS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0038-R,2025-01-24,REGISTRO DE DIRECTIVA,ASOCIACION DE CIMARRONAS MARTINA CARRILLO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0039-R,2025-01-28,INCLUSIÓN Y EXCLUSIÓN DE SOCIOS,ASOCIACION DE DESARROLLO SOCIAL DE LOS PARTAMOS DE SILVAN,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN Y EXCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0040-R,2025-01-28,REGISTRO DE DIRECTIVA,ASOCIACION DE DESARROLLO SOCIAL DE LOS PARTAMOS DE SILVAN,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0041-R,2025-01-28,REGISTRO DE DIRECTIVA,FUNDACIÓN DESARROLLO LOS ANDES,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0042-R,2025-01-28,REGISTRO DE DIRECTIVA,"COMUNIDAD ANCESTRAL KICHWA ""COTO COCHA DE VILLANO""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0043-R,2025-01-28,REGISTRO DE DIRECTIVA,ORGANIZACION COMUNITARIA KURARAY LIKINO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0044-R,2025-01-28,INCLUSIÓN DE SOCIOS,ORGANIZACION COMUNITARIA KURARAY LIKINO,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0045-R,2025-01-30,REGISTRO DE DIRECTIVA,FUNDACION DE DESARROLLO INTEGRAL COMUNITARIO PARA EL PUEBLO MONTUBIO JUJAN,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0046-R,2025-01-30,INCLUSIÓN DE SOCIOS,CENTRO SHUAR LOS VEGAS,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0047-R,2025-01-30,REGISTRO DE DIRECTIVA,CENTRO SHUAR LOS VEGAS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0048-R,2025-01-31,REGISTRO DE DIRECTIVA,COMUNIDAD KICHWA BAJO RODRIGUEZ,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0049-R,2025-01-31,REGISTRO DE DIRECTIVA,COMUNIDAD KICHWA BAJO RODRIGUEZ,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0050-R,2025-01-31,REGISTRO DE DIRECTIVA,"CENTRO SHUAR ""PINCHU NAINT""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0051-R,2025-01-31,REGISTRO DE DIRECTIVA,COMUNA SAN RAMON,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0052-R,2025-02-03,REGISTRO DE DIRECTIVA,ASOCIACION DE TRABAJADORES KICHWAS AUTONOMOS MACHACUYUCU DEL ALTO COCA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0053-R,2025-02-03,PERSONERIA JURIDICA,ASOCIACIÓN DEL PUEBLO MONTUBIO DEL CANTÓN SALITRE,Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0054-R,2025-02-03,REGISTRO DE DIRECTIVA,COMUNIDAD YANAYACU EN SAN SEBASTIAN DEL COCA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0055-R,2025-02-03,REGISTRO DE DIRECTIVA,COMUNIDAD ANCESTRAL KICHWA VOLCAN SUMACO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0056-R,2025-02-03,REGISTRO DE DIRECTIVA,PUEBLO ANCESTRAL KICHWA KAWSAK SACHA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0057-R,2025-02-03,REGISTRO DE DIRECTIVA,COMUNIDAD 05 DE AGOSTO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0058-R,2025-02-03,INCLUSIÓN Y EXCLUSIÓN DE SOCIOS,COMUNIDAD 05 DE AGOSTO,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN Y EXCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0059-R,2025-02-04,REGISTRO DE DIRECTIVA,UNION DE ORGANIZACIONES SOCIALES INTERCULTURALES DEL SUR DE PICHINCHA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0060-R,2025-02-04,REGISTRO DE DIRECTIVA,COMUNIDAD RODRIGO BORJA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0061-R,2025-02-05,REGISTRO DE DIRECTIVA,PUEBLO MANTA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0062-R,2025-02-05,REGISTRO DE DIRECTIVA,PUEBLO ANCESTRAL KICHWA KAWSAK SACHA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0063-R,2025-02-06,REGISTRO DE DIRECTIVA,"UNION DE ORGANIZACIONES SOCIALES INTERCULTURALES DEL SUR DE PICHINCHA ""UOSISP""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0064-R,2025-02-06,PERSONERIA JURIDICA,COMUNIDAD PUCARA MOISAN,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0065-R,2025-02-06,REGISTRO DE DIRECTIVA,PUEBLO MONTUBIO DEL ECUADOR,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0066-R,2025-02-07,REFORMA DE ESTATUTO,PUEBLO KITU KARA,Reforma y mejoramiento del Estatuto,Reforma y codificación del Estatuto,Luis Fernando Sarango Macas,REFORMA DE ESTATUTO | Reforma y mejoramiento del Estatuto
SGDPN-DRCPN-2025-0067-R,2025-02-07,PERSONERÍA JURÍDICA,FUNDACIÓN COTOPAXI AYLLUKUNA SUMAK KAWSAYPAK,Personería jurídica a organizaciones sin fines de lucro,Personería jurídica de fundaciones,Luis Fernando Sarango Macas,PERSONERÍA JURÍDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0068-R,2025-02-07,REGISTRO DE DIRECTIVA,COMUNIDAD DE YACULOMA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0069-R,2025-02-07,INCLUSIÓN DE SOCIOS,CENTRO SHUAR NUMPAIM SAN CARLOS,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0070-R,2025-02-11,REGISTRO DE DIRECTIVA,ASOCIACIÓN DE EMPRENDEDORES PAKCHA PUNKU AEPP,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0071-R,2025-02-11,TRANSFERENCIA (DEVOLUCIÓN),ORGANIZACIÓN SOCIAL DE LA ASOCIACIÓN PUEBLO NUEVO,Otros,Otros,Luis Fernando Sarango Macas,TRANSFERENCIA (DEVOLUCIÓN) | Otros
SGDPN-DRCPN-2025-0072-R,2025-02-13,REGISTRO DE DIRECTIVA,CENTRO SHUAR PEÑAS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0073-R,2025-02-13,REFORMA DE ESTATUTO,COMUNIDAD KICHWA SAN SILVERIO DE PANGA YACU,Reforma y mejoramiento del Estatuto,Reforma y codificación del Estatuto,Luis Fernando Sarango Macas,REFORMA DE ESTATUTO | Reforma y mejoramiento del Estatuto
SGDPN-DRCPN-2025-0074-R,2025-02-13,REGISTRO DE DIRECTIVA,ASOCIACIÓN PUEBLO NUEVO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0075-R,2025-02-14,REGISTRO DE DIRECTIVA,COMUNIDAD ACHUAR DE KUPATAS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0076-R,2025-02-14,INCLUSIÓN DE SOCIOS,FUNDACION INDIGENA AMAZONICO SUMAK SACHA,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0077-R,2025-02-14,INCLUSIÓN DE SOCIOS,COMUNA KICHWA KURI YAKU,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0078-R,2025-02-14,REGISTRO DE DIRECTIVA,COMUNA KICHWA KURI YAKU,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0079-R,2025-02-14,INCLUSIÓN DE SOCIOS,COMUNA KICHWA KURI YAKU,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0080-R,2025-02-19,REGISTRO DE DIRECTIVA,"COMUNIDAD INDIGENA KICHWA ""EL CHAUPI""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0081-R,2025-02-19,REGISTRO DE DIRECTIVA,"COMUNIDAD KICHWA ""CHAMBIRA""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0082-R,2025-02-19,REGISTRO DE DIRECTIVA,FUNDACION DE DESARROLLO INTEGRAL RESCATE ECUADOR,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0083-R,2025-02-19,REGISTRO DE DIRECTIVA,CENTRO SHUAR NUPI,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0084-R,2025-02-20,REGISTRO DE DIRECTIVA,CENTRO SHUAR CHIARMANCH,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0085-R,2025-02-20,REGISTRO DE DIRECTIVA,CENTRO SHUAR YUKUTAIS,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0086-R,2025-02-20,INCLUSIÓN DE SOCIOS,FUNDACION PARA EL DESARROLLO CULTURURAL Y SOCIAL ILLIKACHI,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0087-R,2025-02-20,REGISTRO DE DIRECTIVA,FEDERACION SHUAR DE ZAMORA CHINCHIPE,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0088-R,2025-02-26,PERSONERIA JURIDICA,"FUNDACIÓN MONTUBIA 24 DE MAYO ""FUNDAMON""",Personería jurídica a organizaciones sin fines de lucro,Personería jurídica de fundaciones,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0089-R,2025-02-26,REGISTRO DE DIRECTIVA,ASOCIACIÓN DE MUJERES KICHWA CHIULLY,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0090-R,2025-02-26,REGISTRO DE DIRECTIVA,COMUNIDAD KICHWA DE SAN JOSÉ,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
